user_id,friends_cnt,followers_cnt,subscriptions_cnt,wall_posts_cnt,is_deleted,is_banned,is_bot
1321945,193,193,6,172,0,0,0
328725231,295,42,5,47,0,0,0
358878879,4,68,0,320,0,0,0
258452364,64,,0,,0,0,0
77766125,137,,1,,0,0,0
327709472,,,,,1,0,0
395507414,76,41,5,88,0,0,0
50673027,81,163,0,133,0,0,0
196598238,74,,2,,0,0,0
50702352,181,,3,,0,0,0
3135400,82,177,0,30,0,0,0
20114926,393,,3,,0,0,0
82422347,103,,0,,0,0,0
282009574,127,,0,,0,0,0
115986430,28,,0,,0,0,0
331330456,,,,,1,0,0
316064047,3,,9,,0,0,0
372298382,238,,0,,0,0,0
77202992,212,,0,,0,0,0
353891199,78,,1,,0,0,0
15876720,329,132,1,588,0,0,0
71599429,102,40,4,115,0,0,0
367394806,96,224,1,11,0,0,1
90411862,154,142,0,100,0,0,0
109153697,120,256,11,2676,0,0,0
30191665,396,47,131,148,0,0,0
56006773,87,364,2,602,0,0,0
170564594,321,223,0,22,0,0,0
53803083,677,134,0,1321,0,0,0
215588565,100,,2,,0,0,0
71132990,223,150,3,2,0,0,0
397062487,,,,,1,0,1
10131511,280,57,4,694,0,0,0
2389109,172,267,28,2292,0,0,0
432884713,31,3,0,1,0,0,0
151034643,117,,44,,0,0,0
193703660,1058,3,0,323,0,0,0
287812861,86,69,0,6,0,0,0
273399876,158,,21,,0,0,0
41946626,231,161,1,94,0,0,0
402258662,1954,488,3,77,0,0,1
295112105,92,51,2,66,0,0,0
404374016,0,,0,,0,0,0
123705475,195,,6,,0,0,0
252859787,216,,1,,0,0,0
303383333,32,,3,,0,0,0
424087270,,,,,1,0,0
401733806,1,477,0,0,0,0,1
288196755,,,,,1,0,1
191153826,137,,0,,0,0,0
12381481,109,,1,,0,0,0
282103539,37,,0,,0,0,0
84170427,9293,3658,9,63433,0,0,0
19369583,132,,3,,0,0,0
331285621,227,,4,,0,0,0
49338123,130,74,1,408,0,0,0
167399787,201,175,2,7183,0,0,0
366925330,193,,0,,0,0,0
97192737,504,,42,,0,0,0
246212712,195,251,0,1,0,0,0
186413805,33,881,0,7,0,0,0
432587881,12,1,32,4,0,0,0
54741578,180,,0,,0,0,0
252052773,191,73,1,1220,0,0,0
41864160,70,,0,,0,0,0
91332012,375,244,5,1115,0,0,0
87548944,,,,,0,1,0
17721819,729,189,38,911,0,0,0
251590012,177,,0,,0,0,0
347168129,107,157,1,7,0,0,0
355049430,,,,,0,1,1
278621581,9291,64,5,3379,0,0,0
65062347,90,162,2,0,0,0,0
389150255,1,174,0,1,0,0,0
146417557,232,138,3,53,0,0,0
190746111,72,72,0,39,0,0,0
108831828,399,409,12,5309,0,0,0
357895780,179,292,7,36,0,0,0
157794652,334,,0,,0,0,0
27463780,147,,0,,0,0,0
152364004,307,376,8,101,0,0,0
397336803,,,,,0,1,1
231485873,222,111,98,8,0,0,1
330436557,209,,5,,0,0,0
385910796,38,14,7,437,0,0,0
346086722,1944,226,55,455,0,0,0
375705251,45,93,2,1742,0,0,0
17035919,634,510,1,46,0,0,0
26989415,528,143,12,618,0,0,0
8393010,810,370,33,209,0,0,0
6059677,303,,13,,0,0,0
88740768,92,885,1,1204,0,0,0
139021570,118,,2,,0,0,0
419098241,0,139,0,0,0,0,0
3611649,175,,0,,0,0,0
366008453,2564,,150,,0,0,0
340089068,54,,12,,0,0,0
45644077,280,135,0,231,0,0,0
74554858,417,104,0,1,0,0,0
83521491,153,385,0,517,0,0,0
399762516,,,,,1,0,0
329235449,296,67,8,16,0,0,0
256808331,,,,,1,0,0
401703265,,,,,0,1,0
136687625,321,225,4,165,0,0,0
203215683,210,161,0,1,0,0,0
117151107,367,156,1,81,0,0,0
396639887,162,,6,,0,0,0
132182135,924,43,35,1295,0,0,0
371448536,51,250,0,0,0,0,0
407479413,210,103,0,2,0,0,0
146688574,182,221,1,19,0,0,0
270151580,44,95,0,8,0,0,0
36490567,208,,0,,0,0,0
354480375,186,3,0,2,0,0,0
328731116,65,0,0,1,0,0,0
98791419,22,,0,,0,0,0
336285250,3200,59,24,859,0,0,0
188504519,39,97,0,9,0,0,0
317156178,0,0,0,1,0,0,0
163028046,,,,,0,1,0
219608293,0,741,0,3,0,0,1
351861173,53,,0,,0,0,0
376615030,,,,,1,0,1
39304580,356,,0,,0,0,0
254246676,120,,0,,0,0,0
232037694,14,,1,,0,0,0
288721795,19,10,0,19,0,0,0
428175554,,,,,0,1,1
41683107,175,152,3,60,0,0,0
34782746,2885,33,253,2730,0,0,0
116773740,24,,0,,0,0,0
194747685,178,,1,,0,0,0
152376787,56,,0,,0,0,0
395746244,134,,1,,0,0,0
135106443,382,,0,,0,0,0
353853602,,,,,0,1,1
321713844,28,,2,,0,0,0
229010279,223,128,1,6,0,0,0
399075604,197,21,1,268,0,0,0
299492736,,,,,0,1,0
15388597,550,272,0,40,0,0,0
16484803,710,454,2,3533,0,0,0
101193488,431,836,31,500,0,0,0
72704511,1381,539,62,4290,0,0,0
431913060,28,24,0,11,0,0,0
220332660,15,12,1,14,0,0,0
288818403,56,528,0,1241,0,0,0
287411248,88,,1,,0,0,0
413415845,,,,,1,0,1
57648610,288,,3,,0,0,0
20453504,282,331,1,536,0,0,0
355689390,,,,,0,1,1
378823279,,,,,0,1,1
314308320,405,120,3,14,0,0,0
298475142,181,,3,,0,0,0
325852583,441,213,6,45,0,0,1
132238506,65,,32,,0,0,0
71162391,810,469,0,296,0,0,0
190607599,134,276,1,2125,0,0,0
55662134,679,96,14,520,0,0,0
253415134,285,,4,,0,0,0
202187686,78,,0,,0,0,0
207720701,8,52,0,5111,0,0,0
383873545,352,93,3,20,0,0,0
140064050,266,,1,,0,0,0
10488358,158,51,0,179,0,0,0
4484510,1186,696,3,2778,0,0,0
350058745,161,316,0,9,0,0,0
353221487,586,135,11,47,0,0,0
13552145,442,,26,,0,0,0
390025438,15,119,35,2,0,0,0
128116483,96,0,1,74,0,0,0
64719629,242,157,6,66,0,0,0
211474862,12,62,1,779,0,0,0
122322230,232,182,0,113,0,0,0
119684054,56,,0,,0,0,0
2747129,413,105,5,1206,0,0,0
367263727,126,,15,,0,0,0
418708048,,,,,0,1,1
50993049,45,45,6,44,0,0,0
208019270,53,79,0,3,0,0,0
24419634,,,,,1,0,0
322328651,,,,,0,1,1
219846166,120,99,0,211,0,0,0
234752061,407,285,2,215,0,0,0
247919482,460,197,44,16816,0,0,0
402026527,326,301,42,1,0,0,0
404964389,46,,0,,0,0,0
117799790,52,,0,,0,0,0
233502596,186,113,8,205,0,0,0
371385074,86,49,13,11,0,0,0
316945464,72,,0,,0,0,0
29659892,,,,,1,0,0
398116262,,,,,0,1,1
219877406,252,,2,,0,0,0
172587365,242,,0,,0,0,0
374165560,,,,,1,0,1
183709336,,,,,1,0,0
14509662,168,225,0,1550,0,0,0
63597505,,,,,1,0,0
34264012,373,147,3,248,0,0,0
224068238,,,,,1,0,0
26109163,298,312,0,1402,0,0,0
185616741,,,,,0,1,1
315098296,94,187,1,10,0,0,0
160248275,130,118,1,84,0,0,0
103787444,135,52,1,50,0,0,0
161837324,,,,,0,1,0
177031519,61,,0,,0,0,0
24898473,14,422,1,274,0,0,0
217998588,93,,0,,0,0,0
87373003,275,,1,,0,0,0
259838675,,,,,1,0,0
22219722,250,140,1,522,0,0,0
200478236,26,66,3,7,0,0,0
416626764,,,,,0,1,1
422274225,,,,,0,1,0
105667314,410,,3,,0,0,0
63897229,398,82,2,338,0,0,0
96115128,89,,0,,0,0,0
196941900,660,,24,,0,0,1
398937456,2,179,3,394,0,0,0
18009604,214,381,13,1619,0,0,0
155630618,164,,11,,0,0,0
153679460,,,,,1,0,0
344281889,,,,,0,1,1
51038650,72,61,0,92,0,0,0
158051321,164,,0,,0,0,0
9828059,392,314,16,538,0,0,0
245521616,395,69,17,22,0,0,0
280298004,89,,21,,0,0,0
208052741,,,,,0,1,1
95799475,2180,37,75,2227,0,0,0
18471102,613,,6,,0,0,0
231266279,98,,0,,0,0,0
410150721,,,,,1,0,0
64434434,147,667,1,2678,0,0,0
395111805,152,157,0,1,0,0,1
250934720,480,,0,,0,0,0
17756437,,,,,1,0,0
9435420,186,,0,,0,0,0
223721107,207,182,0,3,0,0,0
397317778,133,,2,,0,0,0
299649612,132,,5,,0,0,0
274135430,431,,4,,0,0,0
327007524,68,,3,,0,0,0
54447629,142,149,0,534,0,0,0
367581226,,,,,1,0,0
309816795,116,186,2,1,0,0,0
350746478,2840,770,301,751,0,0,1
391132140,179,,3,,0,0,0
430261154,99,,0,,0,0,0
30647218,,,,,1,0,0
283752562,1189,286,8,13238,0,0,1
203611789,123,321,0,6,0,0,0
233732179,2352,113,122,17234,0,0,0
180031452,75,,0,,0,0,0
114947237,163,152,0,0,0,0,0
229814399,187,303,14,638,0,0,0
169548588,187,65,1,39,0,0,0
151660228,563,,0,,0,0,0
3933085,120,19,4,163,0,0,0
332833722,,,,,1,0,0
72922266,226,,3,,0,0,0
340788081,,,,,0,1,0
15357158,29,5,1,49,0,0,0
6085804,171,,2,,0,0,0
400311829,266,277,3,3,0,0,1
159536784,274,,6,,0,0,0
160332582,123,,0,,0,0,0
340624229,122,349,4,9,0,0,0
145590791,255,196,0,0,0,0,0
406820137,,,,,0,1,1
305561395,177,169,0,1,0,0,0
183365139,87,,0,,0,0,0
88059960,86,,1,,0,0,0
18697312,8,,0,,0,0,0
252044208,52,130,0,0,0,0,0
74059561,1042,,13,,0,0,0
1372601,400,,19,,0,0,0
17646715,265,,4,,0,0,0
405729163,863,124,39,4102,0,0,0
378814616,44,43,1,4,0,0,0
197844640,128,3,11,142,0,0,0
273590473,27,15,0,467,0,0,0
201294056,189,407,2,21,0,0,0
380890662,19,1,0,1,0,0,0
76244509,179,128,4,33,0,0,0
277433032,146,,0,,0,0,0
305775892,59,32,1,159,0,0,0
204578806,254,278,41,5020,0,0,0
356985524,,,,,1,0,0
10807268,476,40,15,706,0,0,0
12342062,468,117,8,1717,0,0,0
2918013,1904,,24,,0,0,0
195070505,497,,6,,0,0,0
205744278,76,38,2,360,0,0,0
380839092,6,,2,,0,0,0
136121797,230,122,4,407,0,0,0
116143351,250,,7,,0,0,0
327805813,95,399,0,412,0,0,0
88757073,234,69,1,3283,0,0,0
148172766,307,48,4,640,0,0,0
139002059,449,,2,,0,0,1
425565073,34,7,18,4,0,0,0
304947362,835,,39,,0,0,0
258866378,57,,1,,0,0,0
307070777,28,39,2,134,0,0,0
161657526,,,,,0,1,1
292277471,62,211,0,3,0,0,0
285043439,,,,,0,1,0
110565835,187,23,0,860,0,0,0
188595787,,,,,1,0,0
341239607,177,37,2,52,0,0,0
168406244,,,,,0,1,1
369531360,67,130,0,1,0,0,0
66807229,275,111,2,652,0,0,0
392092824,,,,,0,1,0
204870804,34,7,0,10,0,0,0
311514027,133,,4,,0,0,0
394261742,154,272,7,8,0,0,0
247015416,651,547,1948,4602,0,0,0
63228153,7,153,0,112,0,0,0
382969529,215,,0,,0,0,0
352136415,,,,,1,0,0
183183598,1,757,0,0,0,0,1
327009128,66,8,6,85,0,0,0
302716589,1,335,0,7,0,0,0
17812585,143,159,1,0,0,0,0
249866759,117,40,0,2,0,0,0
285793708,329,,0,,0,0,0
170667544,124,,0,,0,0,0
100434416,9035,2767,0,145,0,0,0
14878082,,,,,1,0,0
287873294,45,,1,,0,0,0
407869038,54,,4,,0,0,0
286026005,47,,20,,0,0,0
433991081,,,,,1,0,0
157724322,26,68,17,7,0,0,0
17023401,116,333,1,1378,0,0,0
89254877,152,45,7,117,0,0,0
137620066,186,,2,,0,0,0
292811166,101,271,19,2306,0,0,0
59762294,559,365,6,1826,0,0,0
338563366,,,,,0,1,0
42144420,,,,,0,1,1
270178461,137,629,25,346,0,0,0
66404628,600,604,50,2140,0,0,0
383212175,,,,,1,0,0
156494519,,,,,0,1,0
103197435,50,,0,,0,0,0
169306887,179,,3,,0,0,0
408559446,99,32,5,283,0,0,0
340849209,,,,,1,0,0
144004169,105,729,4,1114,0,0,0
345761823,243,,1,,0,0,0
415825292,192,197,0,0,0,0,0
19073167,0,247,0,523,0,0,0
358485115,252,325,42,18,0,0,0
212388506,55,,17,,0,0,0
390147488,75,660,0,1,0,0,1
18560878,69,38,0,110,0,0,0
222835757,120,159,2,3,0,0,0
217814395,66,45,1,123,0,0,0
383898463,58,33,10,172,0,0,0
17624761,677,,11,,0,0,0
11935910,50,,1,,0,0,0
144283812,357,93,4,160,0,0,0
332325150,101,58,9,0,0,0,0
13198610,,,,,1,0,0
1923998,226,,17,,0,0,0
28338360,541,,1,,0,0,0
211776542,253,64,6,1,0,0,0
318689336,499,,29,,0,0,0
213832531,138,34,0,321,0,0,0
326807721,387,28,64,7552,0,0,0
333000035,,,,,1,0,0
324539895,,,,,0,1,0
398347450,168,28,5,178,0,0,0
342111630,,,,,0,1,1
15811057,207,,0,,0,0,0
429827121,64,11,13,21,0,0,0
96428073,132,373,0,0,0,0,0
312472084,771,135,26,88,0,0,0
414895343,2183,233,141,1,0,0,0
386603723,182,,0,,0,0,0
217676069,87,5,58,288,0,0,0
321567419,127,78,0,135,0,0,0
31742301,88,288,3,2509,0,0,0
312877007,102,35,335,574,0,0,0
166904585,75,36,1,6561,0,0,0
373233021,,,,,1,0,0
18563618,183,,0,,0,0,0
268168421,704,,3,,0,0,0
156628853,378,22,1,141,0,0,0
343438512,166,,0,,0,0,0
140732477,98,413,0,12,0,0,0
325288745,39,103,2,63,0,0,0
378431807,,,,,0,1,1
114501784,356,81,11,1682,0,0,0
39688983,27,24,3,43,0,0,0
44586199,47,,0,,0,0,0
306374201,523,,10,,0,0,0
146551518,227,260,4,157,0,0,0
42749539,5690,945,453,1033,0,0,0
360270600,0,25,12,6,0,0,0
139858121,736,357,7,780,0,0,0
409447810,,,,,0,1,0
49670289,103,134,7,960,0,0,0
6070767,126,13,1,87,0,0,0
138555682,138,49,9,181,0,0,0
155032787,216,171,0,10,0,0,0
172455122,152,134,3,201,0,0,0
301896224,3,2,0,1,0,0,1
333466608,,,,,1,0,0
84349256,249,111,1,1496,0,0,0
196337705,122,47,8,6,0,0,1
183989843,,,,,1,0,0
1160524,40,20,0,19,0,0,0
413924700,,,,,0,1,1
316273582,,,,,0,1,0
367969599,,,,,0,1,0
352087768,221,,1,,0,0,0
360006413,20,3,0,23,0,0,0
138049488,184,,1,,0,0,0
4711817,367,156,11,347,0,0,0
75355864,56,30,1,44,0,0,0
350472857,,,,,1,0,1
157196256,42,180,0,0,0,0,0
416899031,,,,,1,0,1
2428552,687,,6,,0,0,0
136731434,101,249,0,31,0,0,1
23314022,113,,0,,0,0,0
387360477,31,93,22,12,0,0,0
48676098,117,236,0,7,0,0,0
5788709,1031,440,15,954,0,0,0
23056377,93,666,0,990,0,0,0
12370590,118,130,5,413,0,0,0
403592193,189,,0,,0,0,0
334698053,543,273,248,0,0,0,1
3075634,39,,0,,0,0,1
164095298,,,,,1,0,0
278238141,80,18,2,0,0,0,0
155523892,34,1306,0,2,0,0,0
181440575,434,455,1,663,0,0,0
379375329,24,,7,,0,0,0
395794781,27,,3,,0,0,0
203496159,93,78,1,69,0,0,1
237210451,195,326,0,3,0,0,0
16733783,187,81,1,64,0,0,0
16274225,247,,10,,0,0,0
254721365,255,47,1,21,0,0,0
265317046,130,11,3,29,0,0,0
3032154,414,425,20,2297,0,0,0
82955696,40,42,5,55,0,0,0
194237053,325,132,5,0,0,0,0
244814101,145,,1,,0,0,0
14804585,360,,1,,0,0,0
8653703,6218,,59,,0,0,0
85332527,116,194,1,440,0,0,0
12131539,31,26,5,616,0,0,0
251095846,68,,1,,0,0,0
47041890,177,237,0,2021,0,0,0
280205254,33,92,0,6,0,0,0
292162766,,,,,0,1,0
52214336,181,204,5,383,0,0,0
56042125,55,,1,,0,0,0
161367457,245,,1,,0,0,0
7921440,133,86,2,542,0,0,0
317541140,113,66,1,75,0,0,0
278115298,29,71,1,42,0,0,1
7717677,332,,7,,0,0,0
10814645,271,,6,,0,0,0
286675420,661,,0,,0,0,1
274350106,92,189,0,8,0,0,0
2274106,1409,358,57,1449,0,0,0
16424882,35,,0,,0,0,0
324995502,38,14,5,31,0,0,0
23356204,717,,8,,0,0,0
24292471,94,133,18,11133,0,0,0
65329327,225,177,0,13,0,0,0
25229545,208,95,3,2527,0,0,0
430003480,,,,,0,1,0
389424593,19,20,6,2,0,0,0
212000450,257,174,0,12,0,0,1
396880730,,,,,0,1,1
19510252,533,244,9,1841,0,0,0
381694019,,,,,1,0,0
12147135,925,978,3,1623,0,0,0
156219532,448,162,9,513,0,0,0
3331349,508,,23,,0,0,0
155248442,98,73,0,17,0,0,0
146120750,17,,0,,0,0,0
425368424,193,26,6,1,0,0,0
399235155,,,,,0,1,0
1515169,166,46,1,223,0,0,0
161022825,645,427,1,63,0,0,0
346141816,,,,,0,1,0
153427455,,,,,0,1,0
26855363,569,258,1,95,0,0,0
105727387,372,158,6,1541,0,0,0
261108481,,,,,1,0,0
382215077,944,,0,,0,0,0
49508684,26,9,0,64,0,0,0
383492411,145,,5,,0,0,0
341598100,304,280,0,2,0,0,1
239601197,22,,4,,0,0,0
189983125,38,,0,,0,0,0
328818078,170,59,5,1,0,0,0
132930412,370,205,154,49,0,0,0
311708457,,,,,1,0,0
310999636,124,802,358,0,0,0,0
248150866,144,10,3,232,0,0,0
162178747,89,271,0,4,0,0,0
271368398,,,,,1,0,0
407966390,521,187,1,104,0,0,1
125136296,1137,491,1,20,0,0,0
152015147,71,92,0,3,0,0,0
139698021,,,,,1,0,0
322975367,,,,,0,1,1
117807372,419,,8,,0,0,0
82374940,322,,1,,0,0,0
239714584,33,50,2,0,0,0,0
138273048,44,98,0,730,0,0,1
8242621,366,63,3,294,0,0,0
173669764,81,138,2,10,0,0,0
390314633,73,32,2,4,0,0,0
753608,188,,1,,0,0,0
106372073,,,,,1,0,0
393219194,40,,1,,0,0,0
17220161,38,11,0,20,0,0,0
412026820,189,10,1,4,0,0,0
349676590,738,30,225,380,0,0,1
271212277,31,5,0,0,0,0,0
345573632,98,256,0,124,0,0,1
256926825,68,295,1,9,0,0,0
408017359,,,,,0,1,0
216031327,637,301,70,2040,0,0,0
398258745,100,82,25,1,0,0,1
395241409,,,,,0,1,1
233850725,184,231,0,0,0,0,0
156242202,358,68,1,217,0,0,0
4118934,143,131,4,83,0,0,0
297876174,5,143,0,14,0,0,0
166631818,225,69,0,55,0,0,0
144147539,476,451,0,24,0,0,0
26215989,169,319,2,914,0,0,0
410394338,370,200,0,1169,0,0,0
87444886,96,66,0,83,0,0,0
97932685,1171,418,35,171,0,0,0
358049739,122,142,2,1,0,0,0
377821179,506,189,290,208,0,0,0
178622228,78,60,9,1301,0,0,0
363146872,309,14,3,1304,0,0,0
49278075,8947,,1,,0,0,0
327575455,3170,144,35,790,0,0,0
31922212,108,,0,,0,0,0
363155691,,,,,0,1,0
296764209,156,,1,,0,0,0
49856121,555,38,49,732,0,0,0
24899415,280,22,3,214,0,0,0
429229155,,,,,1,0,0
206501611,56,67,0,3,0,0,0
308773848,190,,1,,0,0,0
8198274,53,34,2,31,0,0,0
264880450,62,53,3,35,0,0,0
399075638,367,331,139,4714,0,0,1
271262038,,,,,1,0,0
291869646,45,16,0,39,0,0,0
170980116,92,5,0,198,0,0,0
247845668,176,,8,,0,0,0
3448298,514,276,6,476,0,0,0
49168774,360,1606,4,625,0,0,0
308130775,,,,,1,0,0
346525675,102,238,1,1503,0,0,0
164567089,133,651,4,7,0,0,0
257745717,78,85,5,575,0,0,0
210653787,,,,,0,1,1
310195698,1117,8,14,178,0,0,0
109212306,177,,3,,0,0,0
200733254,129,,9,,0,0,0
291256638,389,84,0,23,0,0,0
305675323,353,,17,,0,0,0
40829794,135,154,0,4104,0,0,0
416567745,,,,,0,1,1
233229583,955,104,160,266,0,0,0
91044356,129,37,8,44,0,0,0
428608219,,,,,1,0,1
135988598,178,59,2,36,0,0,0
318350807,110,,3,,0,0,0
76896928,241,120,8,4337,0,0,0
269094892,163,997,23,8,0,0,0
430849449,,,,,1,0,1
15206146,19,68,1,544,0,0,0
4033049,166,701,4,717,0,0,0
40862183,108,32,94,1019,0,0,0
349474214,,,,,0,1,0
275737322,5,2,0,0,0,0,0
157715610,171,67,3,156,0,0,0
250249668,211,41,14,9,0,0,0
58432538,48,,1,,0,0,0
395604179,,,,,1,0,1
62042704,235,109,32,1623,0,0,0
73599946,,,,,1,0,0
61620559,37,112,1,0,0,0,0
312616771,,,,,1,0,0
172630476,330,346,2,238,0,0,0
4634189,248,,3,,0,0,0
103141175,138,,2,,0,0,0
300882680,86,22,52,19,0,0,1
388981712,6,,0,,0,0,0
116060404,129,,0,,0,0,0
90373,,,,,1,0,0
101604190,496,637,3,63,0,0,0
303083503,255,116,10,32,0,0,1
281345311,90,350,4,11,0,0,0
420624423,,,,,0,1,0
414051290,1749,95,665,587,0,0,1
279794518,280,114,5,524,0,0,0
396776116,31,,8,,0,0,0
324596625,,,,,1,0,0
185445871,229,111,0,12195,0,0,0
242208739,3526,10,125,599,0,0,1
320024316,,,,,1,0,0
291694504,,,,,1,0,0
11363737,388,108,7,5773,0,0,0
165963698,2260,75,232,2139,0,0,0
316561278,,,,,1,0,1
268100413,35,,0,,0,0,0
378285593,151,14,1,245,0,0,0
370671494,,,,,0,1,0
352407182,,,,,1,0,0
211743423,32,79,0,82,0,0,0
181431464,18,632,0,1,0,0,0
204334822,,,,,1,0,0
266105346,156,,1,,0,0,0
111346312,273,319,4,699,0,0,0
159563691,343,,11,,0,0,0
151821313,100,,0,,0,0,1
395583729,75,60,0,3,0,0,0
263693084,202,67,4,102,0,0,0
281393090,15,5,1,1,0,0,0
290315410,,,,,0,1,0
199772609,,,,,0,1,0
426906888,2,,3,,0,0,0
167390064,,,,,1,0,0
254981400,45,327,0,4,0,0,0
244495232,93,78,129,1803,0,0,1
68848321,2242,349,299,526,0,0,0
357082398,38,3,0,32,0,0,0
178024352,,,,,1,0,0
11024499,207,,0,,0,0,0
378694060,,,,,1,0,0
217140228,2447,418,0,17,0,0,1
284956098,,,,,0,1,1
97030878,273,7,3,17,0,0,0
142276331,1349,417,21,219,0,0,0
26079132,211,427,0,498,0,0,0
234902042,,,,,1,0,0
412678136,,,,,1,0,0
148124486,335,,1,,0,0,0
3600722,,,,,1,0,0
33221715,157,145,4,373,0,0,0
87075179,88,,2,,0,0,0
346506798,,,,,1,0,0
321048197,140,268,0,1198,0,0,0
426105572,2,62,0,4,0,0,0
403728545,56,8,5,1,0,0,0
428902176,,,,,0,1,0
252635706,163,248,3,17,0,0,0
207515355,1,,0,,0,0,1
194302514,91,340,0,3,0,0,0
857356,1165,,0,,0,0,0
49622831,162,,2,,0,0,0
196066239,66,,0,,0,0,0
202883852,168,,0,,0,0,0
402372784,,,,,1,0,0
150996274,137,321,0,0,0,0,0
3524966,465,603,2,1110,0,0,0
346263671,,,,,0,1,0
135809553,163,,1,,0,0,0
70169136,371,327,6,77,0,0,0
407824722,,,,,1,0,1
294608374,,,,,0,1,1
275171595,257,,1,,0,0,0
164012056,102,,4,,0,0,0
84751120,149,,1,,0,0,0
9463404,269,,1,,0,0,0
381906130,95,,1,,0,0,0
133534825,405,,8,,0,0,0
292189179,3654,228,52,269,0,0,1
405141659,1845,,1748,,0,0,1
373251276,21,15,0,22,0,0,0
132735259,3223,717,0,444,0,0,0
28838263,241,,0,,0,0,0
275277015,156,,0,,0,0,0
188409259,290,388,0,32,0,0,0
100848174,355,171,0,156,0,0,0
330464725,22,,70,,0,0,0
415142541,,,,,1,0,0
89397382,354,96,15,559,0,0,0
285841321,1190,1296,14,253,0,0,0
78641683,157,523,0,80,0,0,0
137342794,64,94,0,0,0,0,0
320227120,,,,,1,0,0
161822204,239,155,3,112,0,0,0
107767401,684,347,0,543,0,0,0
249254344,,,,,1,0,0
424198252,,,,,0,1,1
48696990,785,,1,,0,0,0
4533152,177,,6,,0,0,0
254221623,118,285,0,11,0,0,0
333107451,170,98,0,5,0,0,1
